CS,BZO,BZO_ratio,Total_GSL,C3ratio_emmeans,Alk_emmeans,OH_emmeans,MSO_emmeans,GSOH_emmeans,lc,sc,GSOX_emmeans,Alk_OH_ratio,Ref,AOP,MAM,GSOH,Key,Classification,Classification_name,PC1,PC2,PC3,PC4,PC5,PC6,Name,Country,Lat,Long
CS76347,0.002805453,0.113363516,0.024747406,0.998663777,0.290125801,0.564710494,0.005988549,0.938091166,0.775471933,0.108231342,0.139175156,0.513760243,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.091233583,0.867533817,-0.04551375,0.080610512,0.049679722,6.94E-16,Aitba-2,MAR,31.48,-7.45
CS76350,0.00182978,0.064959953,0.028167816,0.988399718,0.610205396,0.270343529,0.018004216,-1.070921986,0.774033597,0.150345238,0.101446859,2.257148148,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.542617257,-2.048073178,5.467848578,2.288258494,0.511441362,-1.07E-14,Vezzano-2.2,ITA,46.6297,10.817
CS76351,0.00258379,0.101134631,0.025548024,0.912863786,0.3735337,0.406945624,0.000338286,1.010235551,0.786920505,0.095342285,0.21918239,0.91789585,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.518662044,0.448075824,-0.399854449,1.82E-05,0.372899229,6.31E-16,Rovero-1,ITA,46.2543,11.167
CS76352,0.004497858,0.18626538,0.024147579,0.968923727,-0.003807132,0.943862131,0.006043096,0.937946456,0.465722339,0.308909683,0.053901905,-0.004033568,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.927956139,2.220309309,0.098554571,0.552631618,-0.89570496,1.33E-15,Voeran-1,ITA,46.36,11.23
CS76353,0.001757673,0.090330138,0.019458323,0.96791063,0.526211329,0.43747642,0.000270097,1.012242497,0.731065773,0.156784374,0.036042155,1.202833582,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-1.171898885,-0.104136579,-0.372547216,-0.334688991,0.068904365,1.17E-15,Altenb-2,ITA,46.3716,11.2376
CS76354,0.001977487,0.089576461,0.022075967,0.986973045,0.519481385,0.419874275,0.000126215,0.937946456,0.584671102,0.295730646,0.060518125,1.237230799,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.095987984,-0.13836459,-0.169971165,-0.214322625,0.183873165,2.22E-16,Mitterberg-1-181,ITA,46.366,11.2832
CS76355,0.002541402,0.072368555,0.03511749,0.97860662,0.651306414,0.149321284,0.013050849,0.378698225,0.631195992,0.293532994,0.186321453,4.361778817,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.170636671,-1.188386084,1.385741701,0.210079291,0.886615184,-2.82E-15,Castelfed-4-212,ITA,46.3378,11.2928
CS76356,0.004242992,0.238806536,0.017767487,0.969816335,0.755441028,0.18008086,-0.003375609,0.938110008,0.51290225,0.239928979,0.067853721,4.195010115,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.673155195,-1.217561416,-0.311416298,-0.532439929,0.644032887,2.78E-16,Castelfed-4-213,ITA,46.3378,11.2928
CS76357,0.002740998,0.15722467,0.017433638,0.959536633,0.250566476,0.39940816,0.03433824,1.044796197,0.697738644,0.141230017,0.315687124,0.627344408,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.0857109,1.110226753,-0.125071552,-0.421903201,0.523356933,1.25E-15,Bozen-1.1,ITA,46.513,11.331
CS76358,0.004010254,0.172100914,0.023301759,0.953358404,0.435604575,0.159301012,0.053205908,0.938110008,0.617894729,0.205014352,0.351888504,2.734474621,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,0.54651036,0.245216546,0.264042837,-0.877591403,0.975601326,3.89E-16,Bozen-1.2,ITA,46.513,11.331
