Accession,Clade.number,Chemotype,Name,Country,Lat,Long,Mountain,CS,Kroymann,Country_1,Color
Lyrata,,,,,,,,,,,
1552,Clade_4,Allyl,Sku-30,SWE,63.0833,18.3667,North,CS77251,,,blue
6961,Clade_4,4MSO,Se-0,ESP,38.3333,-3.53333,South,CS76597,,,magenta
6963,Clade_4,Butenyl,Sorbo,TJK,38.35,68.48,Sorbo,CS78917,Sorbo,,black
6968,Clade_4,Allyl,Tamm-2,FIN,60,23.5,North,CS76610,,,blue
7328,Clade_4,4MSO,Sf-2,ESP,41.7833,3.03333,South,CS77247,,,magenta
9125,Clade_4,Allyl,Geg-14,ARM,40.1408,44.8203,South,CS76876,,,blue
9128,Clade_4,OH-But,Yeg-2,ARM,39.8692,45.3622,South,CS78864,,,red3
9130,Clade_4,OH-But,Yeg-4,ARM,39.8692,45.3622,South,CS78865,,,red3
9131,Clade_4,OH-But,Yeg-5,ARM,39.8692,45.3622,South,CS78866,,,red3
9559,Clade_4,OH-But,IP-Mon-5,ESP,38.06,-4.38,South,CS77107,,,red3
9593,Clade_4,Allyl,IP-Vaz-0,ESP,42.26,-2.99,South,CS78836,,,blue
9684,Clade_4,Allyl,Castelfed-2-200,ITA,46.3378,11.2928,South,CS76749,,,blue
9685,Clade_4,Allyl,Castelfed-2-201,ITA,46.3378,11.2928,South,CS76750,,,blue
9686,Clade_4,Allyl,Castelfed-2-202,ITA,46.3378,11.2928,South,CS76751,,,blue
9687,Clade_4,Allyl,Castelfed-2-203,ITA,46.3378,11.2928,South,CS76752,,,blue
9717,Clade_4,OH-But,Kardz-2,BUL,41.66,25.47,South,CS76963,,,red3
9744,Clade_4,Allyl,Iasi-1,ROU,47.16,27.59,South,CS76944,,,blue
9900,Clade_4,Butenyl,IP-Tri-0,ESP,37.38,-6.01,South,CS77386,,,black
9933,Clade_4,4MSO,VED-10,FRA,43.74,3.89,North,CS78839,,,magenta
10011,Clade_4,OH-But,Yeg-1,ARM,39.8692,45.3622,South,CS76394,,,red3
6911,Clade_5,Butenyl,Cvi-0,CPV,15.1111,-23.6167,Cvi-0,CS76789,Cvi-0,,black
9518,Clade_5,Allyl,IP-Alm-0,ESP,39.88,-0.36,South,CS76660,,,blue
9528,Clade_5,Allyl,IP-Cal-0,ESP,40.94,-1.37,South,CS78890,,,blue
9530,Clade_5,OH-But,IP-Car-1,ESP,38.25,-4.32,South,CS76742,,,red3
9533,Clade_5,Allyl,IP-Cem-0,ESP,41.15,-4.32,South,CS76763,,,blue
9535,Clade_5,OH-But,IP-Coc-1,ESP,42.31,3.19,South,CS76776,,,red3
9541,Clade_5,OH-But,IP-Fue-2,ESP,38.26,-5.42,South,CS76871,,,red3
9543,Clade_5,OH-But,IP-Gra-0,ESP,36.77,-5.39,South,CS76886,,,red3
9545,Clade_5,OH-But,IP-Her-12,ESP,39.4,-5.78,South,CS76920,,,red3
9554,Clade_5,OH-But,IP-Lso-0,ESP,38.86,-3.16,South,CS77055,,,red3
9555,Clade_5,Allyl,IP-Mar-1,ESP,39.58,-3.93,South,CS77068,,,blue
9817,Clade_5,OH-But,IP-Ace-0,ESP,39.84,-6.6,South,CS76642,,,red3
9832,Clade_5,Allyl,IP-Cat-0,ESP,40.54,-3.69,South,CS76759,,,blue
